,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Churn
0,42.0,11066.8,0.0,7.22,8.0,1.0
1,41.0,11916.22,0.0,6.5,11.0,1.0
2,38.0,12884.75,0.0,6.67,12.0,1.0
3,42.0,8010.76,0.0,6.71,10.0,1.0
4,37.0,9191.58,0.0,5.56,9.0,1.0
5,48.0,10356.02,0.0,5.12,8.0,1.0
6,44.0,11331.58,1.0,5.23,11.0,1.0
7,32.0,9885.12,1.0,6.92,9.0,1.0
8,43.0,14062.6,1.0,5.46,11.0,1.0
9,40.0,8066.94,1.0,7.11,11.0,1.0
10,30.0,11575.37,1.0,5.22,8.0,1.0
11,45.0,8771.02,1.0,6.64,11.0,1.0
12,45.0,8988.67,1.0,4.84,11.0,1.0
13,40.0,8283.32,1.0,5.1,13.0,1.0
14,41.0,6569.87,1.0,4.3,11.0,1.0
15,38.0,10494.82,1.0,6.81,12.0,1.0
16,45.0,8213.41,1.0,7.35,11.0,1.0
17,43.0,11226.88,0.0,8.08,12.0,1.0
18,53.0,5515.09,0.0,6.85,8.0,1.0
19,46.0,8046.4,1.0,5.69,8.0,1.0
20,41.0,9771.22,0.0,5.81,11.0,1.0
21,56.0,12217.95,1.0,5.79,11.0,1.0
22,35.0,9381.12,1.0,6.78,11.0,1.0
23,41.0,10474.94,0.0,6.4,12.0,1.0
24,55.0,11158.5,1.0,4.86,10.0,1.0
25,54.0,8207.1,0.0,4.26,11.0,1.0
26,35.0,12403.81,0.0,4.42,11.0,1.0
27,40.0,10041.13,0.0,7.61,11.0,1.0
28,44.0,12721.55,0.0,5.18,11.0,1.0
29,37.0,8284.89,1.0,5.6,10.0,1.0
30,54.0,10661.48,1.0,5.16,8.0,1.0
31,45.0,10793.11,1.0,4.65,10.0,1.0
32,46.0,9322.44,1.0,2.69,11.0,1.0
33,44.0,9814.22,1.0,5.45,12.0,1.0
34,48.0,11740.0,1.0,4.97,11.0,1.0
35,37.0,14383.36,0.0,7.84,10.0,1.0
36,38.0,11887.39,0.0,5.83,12.0,1.0
37,48.0,10367.08,1.0,6.45,12.0,1.0
38,37.0,8198.06,1.0,5.04,12.0,1.0
39,41.0,7777.37,0.0,4.81,12.0,1.0
40,41.0,11699.26,0.0,6.99,12.0,1.0
41,55.0,16838.94,1.0,6.66,8.0,1.0
42,36.0,10484.33,1.0,8.84,10.0,1.0
43,37.0,8736.06,1.0,5.51,12.0,1.0
44,50.0,10850.78,1.0,5.63,9.0,1.0
45,43.0,8601.01,0.0,5.65,12.0,1.0
46,45.0,11170.06,1.0,7.76,10.0,1.0
47,40.0,11185.62,0.0,6.26,12.0,1.0
48,36.0,9793.42,0.0,5.98,9.0,1.0
49,43.0,12524.68,0.0,5.98,10.0,1.0
50,50.0,12682.9,0.0,4.58,10.0,1.0
51,44.0,14036.28,1.0,7.25,10.0,1.0
52,41.0,10179.92,1.0,5.97,10.0,1.0
53,46.0,12772.72,1.0,6.46,9.0,1.0
54,46.0,12122.19,0.0,7.53,11.0,1.0
55,40.0,9922.3,1.0,5.07,11.0,1.0
56,48.0,4771.65,0.0,3.77,12.0,1.0
57,42.0,10827.96,1.0,4.2,10.0,1.0
58,38.0,8642.01,1.0,4.76,11.0,1.0
59,45.0,6749.49,0.0,5.88,14.0,1.0
60,36.0,6447.99,1.0,5.52,11.0,1.0
61,44.0,11091.21,0.0,5.9,10.0,1.0
62,55.0,5024.52,0.0,8.11,9.0,1.0
63,58.0,12376.37,0.0,6.01,12.0,1.0
64,49.0,12458.8,0.0,5.04,9.0,1.0
65,47.0,7222.35,0.0,6.41,11.0,1.0
66,38.0,11758.69,0.0,6.97,11.0,1.0
67,55.0,8772.0,1.0,6.43,10.0,1.0
68,45.0,7351.38,0.0,5.76,11.0,1.0
69,30.0,7960.64,1.0,2.72,10.0,1.0
70,41.0,13365.66,1.0,8.36,9.0,1.0
71,32.0,8617.98,1.0,6.2,10.0,1.0
72,52.0,11849.13,0.0,6.8,11.0,1.0
73,37.0,11145.95,1.0,5.87,11.0,1.0
74,42.0,9577.42,0.0,5.86,11.0,1.0
75,39.0,10110.4,1.0,5.78,13.0,1.0
76,43.0,8024.08,0.0,4.08,12.0,1.0
77,52.0,8563.24,0.0,5.29,11.0,1.0
78,40.0,9403.58,1.0,6.01,9.0,1.0
79,38.0,12520.53,1.0,6.3,11.0,1.0
